category,language,mother_tongue,most_at_home,most_at_work,lang_known
Aboriginal languages,"Aboriginal languages, n.o.s.",20,5,0,15
Non-Official & Non-Aboriginal languages,Afrikaans,960,505,15,1955
Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",45,15,0,170
Non-Official & Non-Aboriginal languages,Akan (Twi),705,330,0,1150
Non-Official & Non-Aboriginal languages,Albanian,1365,620,25,1735
Aboriginal languages,"Algonquian languages, n.i.e.",0,0,0,0
Aboriginal languages,Algonquin,5,0,0,0
Non-Official & Non-Aboriginal languages,American Sign Language,100,85,25,910
Non-Official & Non-Aboriginal languages,Amharic,4075,2730,50,5775
Non-Official & Non-Aboriginal languages,Arabic,18965,11010,240,28535
Non-Official & Non-Aboriginal languages,Armenian,250,110,0,295
Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,295,200,10,330
Aboriginal languages,"Athabaskan languages, n.i.e.",0,0,0,0
Aboriginal languages,Atikamekw,0,0,0,0
Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",5,5,0,10
Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",485,145,0,570
Non-Official & Non-Aboriginal languages,Azerbaijani,240,100,0,350
Aboriginal languages,Babine (Wetsuwet'en),0,0,0,0
Non-Official & Non-Aboriginal languages,Bamanankan,15,5,0,20
Aboriginal languages,Beaver,0,0,0,0
Non-Official & Non-Aboriginal languages,Belarusan,20,0,0,70
Non-Official & Non-Aboriginal languages,Bengali,4140,2750,15,5050
Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",80,35,0,90
Non-Official & Non-Aboriginal languages,Bikol,205,45,0,165
Non-Official & Non-Aboriginal languages,Bilen,50,45,0,65
Aboriginal languages,Blackfoot,235,60,0,350
Non-Official & Non-Aboriginal languages,Bosnian,845,395,15,1330
Non-Official & Non-Aboriginal languages,Bulgarian,945,480,0,1100
Non-Official & Non-Aboriginal languages,Burmese,270,175,15,340
Non-Official & Non-Aboriginal languages,Cantonese,34235,22245,2845,43110
Aboriginal languages,Carrier,0,0,0,0
Non-Official & Non-Aboriginal languages,Catalan,45,20,0,85
Aboriginal languages,Cayuga,0,0,0,0
Non-Official & Non-Aboriginal languages,Cebuano,2015,865,0,2825
Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",20,5,0,190
Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,85,75,0,115
Aboriginal languages,Chilcotin,0,0,0,10
Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",10,5,0,15
Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",2485,1605,125,3105
Aboriginal languages,Comox,0,0,0,0
Aboriginal languages,"Cree, n.o.s.",140,60,0,255
Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",180,65,0,605
Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",430,220,0,1115
Non-Official & Non-Aboriginal languages,Croatian,2100,745,15,2770
Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",10,5,0,30
Non-Official & Non-Aboriginal languages,Czech,1500,425,0,1795
Aboriginal languages,Dakota,25,10,0,60
Non-Official & Non-Aboriginal languages,Danish,860,70,0,1060
Aboriginal languages,Dene,20,10,0,25
Non-Official & Non-Aboriginal languages,Dinka,725,445,0,785
Aboriginal languages,Dogrib (Tlicho),0,0,0,10
Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",30,20,0,80
Non-Official & Non-Aboriginal languages,Dutch,4045,490,0,4945
Non-Official & Non-Aboriginal languages,Edo,105,25,0,240
Official languages,English,937055,1065070,844740,1343335
Non-Official & Non-Aboriginal languages,Estonian,95,15,0,110
Non-Official & Non-Aboriginal languages,Ewe,60,15,0,75
Non-Official & Non-Aboriginal languages,Fijian,45,20,0,140
Non-Official & Non-Aboriginal languages,Finnish,325,50,0,350
Official languages,French,20720,8630,2140,101440
Non-Official & Non-Aboriginal languages,Frisian,40,5,0,65
Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",80,45,0,135
Non-Official & Non-Aboriginal languages,Ga,65,20,0,110
Non-Official & Non-Aboriginal languages,Ganda,40,5,0,75
Non-Official & Non-Aboriginal languages,Georgian,130,80,0,140
Non-Official & Non-Aboriginal languages,German,11865,1540,75,19075
Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",10,5,0,75
Aboriginal languages,Gitxsan (Gitksan),0,0,0,15
Non-Official & Non-Aboriginal languages,Greek,1590,500,10,2490
Non-Official & Non-Aboriginal languages,Gujarati,5575,3125,20,8590
Aboriginal languages,Gwich'in,5,5,0,0
Aboriginal languages,Haida,0,0,0,0
Aboriginal languages,Haisla,0,0,0,0
Non-Official & Non-Aboriginal languages,Haitian Creole,25,5,0,80
Non-Official & Non-Aboriginal languages,Hakka,345,95,0,425
Aboriginal languages,Halkomelem,0,0,0,0
Non-Official & Non-Aboriginal languages,Harari,75,45,0,95
Non-Official & Non-Aboriginal languages,Hebrew,505,260,25,1610
Aboriginal languages,Heiltsuk,0,0,0,0
Non-Official & Non-Aboriginal languages,Hiligaynon,690,205,10,930
Non-Official & Non-Aboriginal languages,Hindi,7390,4130,105,29820
Non-Official & Non-Aboriginal languages,Hmong-Mien languages,90,60,0,85
Non-Official & Non-Aboriginal languages,Hungarian,3640,1310,55,4350
Non-Official & Non-Aboriginal languages,Icelandic,70,15,0,80
Non-Official & Non-Aboriginal languages,Igbo,710,135,0,1495
Non-Official & Non-Aboriginal languages,Ilocano,2595,1025,15,3690
Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",955,505,10,1170
Aboriginal languages,Inuinnaqtun (Inuvialuktun),5,0,0,20
Aboriginal languages,"Inuit languages, n.i.e.",10,5,0,10
Aboriginal languages,Inuktitut,10,0,0,10
Aboriginal languages,"Iroquoian languages, n.i.e.",0,0,0,0
Non-Official & Non-Aboriginal languages,Italian,5430,1270,10,9560
Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",10,0,0,70
Non-Official & Non-Aboriginal languages,Japanese,2420,1105,90,4405
Non-Official & Non-Aboriginal languages,Kabyle,65,30,0,105
Non-Official & Non-Aboriginal languages,Kannada,285,115,0,545
Non-Official & Non-Aboriginal languages,Karenic languages,280,235,15,295
Non-Official & Non-Aboriginal languages,Kashmiri,85,50,0,65
Aboriginal languages,Kaska (Nahani),0,0,0,0
Non-Official & Non-Aboriginal languages,Khmer (Cambodian),880,440,0,1200
Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),125,25,0,105
Non-Official & Non-Aboriginal languages,Konkani,175,35,0,385
Non-Official & Non-Aboriginal languages,Korean,9225,6565,495,10245
Non-Official & Non-Aboriginal languages,Kurdish,750,460,0,1005
Aboriginal languages,Kutenai,5,0,0,0
Aboriginal languages,Kwakiutl (Kwak'wala),0,0,0,0
Non-Official & Non-Aboriginal languages,Lao,470,185,0,635
Non-Official & Non-Aboriginal languages,Latvian,190,85,0,265
Aboriginal languages,Lillooet,0,0,0,0
Non-Official & Non-Aboriginal languages,Lingala,85,25,0,425
Non-Official & Non-Aboriginal languages,Lithuanian,340,155,0,385
Non-Official & Non-Aboriginal languages,Macedonian,160,80,0,270
Non-Official & Non-Aboriginal languages,Malagasy,25,10,0,40
Non-Official & Non-Aboriginal languages,Malay,800,235,0,1505
Non-Official & Non-Aboriginal languages,Malayalam,2130,1295,0,2600
Aboriginal languages,Malecite,0,0,0,0
Non-Official & Non-Aboriginal languages,Maltese,35,5,0,40
Non-Official & Non-Aboriginal languages,Mandarin,28745,21140,1385,39405
Non-Official & Non-Aboriginal languages,Marathi,845,440,0,1545
Aboriginal languages,Mi'kmaq,10,0,0,0
Aboriginal languages,Michif,15,5,0,20
Non-Official & Non-Aboriginal languages,Min Dong,45,10,0,60
Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",1720,675,15,2415
Aboriginal languages,Mohawk,5,0,0,10
Non-Official & Non-Aboriginal languages,Mongolian,450,280,0,655
Aboriginal languages,Montagnais (Innu),5,0,0,0
Aboriginal languages,Moose Cree,5,0,0,0
Aboriginal languages,Naskapi,0,0,0,0
Non-Official & Non-Aboriginal languages,Nepali,1935,1335,25,2215
Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",1110,280,0,2200
Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",785,470,0,920
Aboriginal languages,Nisga'a,0,0,0,0
Aboriginal languages,North Slavey (Hare),0,0,0,0
Aboriginal languages,Northern East Cree,0,0,0,10
Aboriginal languages,Northern Tutchone,0,0,0,0
Non-Official & Non-Aboriginal languages,Norwegian,245,25,0,495
Aboriginal languages,Nuu-chah-nulth (Nootka),5,0,0,0
Aboriginal languages,Oji-Cree,5,0,0,10
Aboriginal languages,Ojibway,55,5,0,95
Aboriginal languages,Okanagan,0,0,0,0
Aboriginal languages,Oneida,0,0,0,0
Non-Official & Non-Aboriginal languages,Oriya (Odia),100,50,0,145
Non-Official & Non-Aboriginal languages,Oromo,950,710,0,1370
Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",330,110,0,790
Aboriginal languages,Ottawa (Odawa),0,0,0,10
Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",265,65,0,440
Non-Official & Non-Aboriginal languages,Pangasinan,125,20,0,205
Non-Official & Non-Aboriginal languages,Pashto,1640,1055,15,2185
Non-Official & Non-Aboriginal languages,Persian (Farsi),9725,6480,120,10755
Aboriginal languages,Plains Cree,55,10,0,130
Non-Official & Non-Aboriginal languages,Polish,8145,3275,100,9560
Non-Official & Non-Aboriginal languages,Portuguese,3695,1770,95,5365
Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),38840,29100,1455,51065
Non-Official & Non-Aboriginal languages,Quebec Sign Language,0,0,0,10
Non-Official & Non-Aboriginal languages,Romanian,4795,2475,55,5945
Non-Official & Non-Aboriginal languages,Rundi (Kirundi),150,65,0,170
Non-Official & Non-Aboriginal languages,Russian,9555,5785,160,13705
Aboriginal languages,"Salish languages, n.i.e.",0,0,0,0
Aboriginal languages,Sarsi (Sarcee),65,10,10,130
Non-Official & Non-Aboriginal languages,Scottish Gaelic,55,5,0,175
Aboriginal languages,Sekani,0,0,0,0
Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",210,150,0,250
Non-Official & Non-Aboriginal languages,Serbian,1860,945,10,2370
Non-Official & Non-Aboriginal languages,Serbo-Croatian,525,180,0,580
Non-Official & Non-Aboriginal languages,Shona,320,95,0,510
Aboriginal languages,Shuswap (Secwepemctsin),0,0,0,0
Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",160,250,35,790
Non-Official & Non-Aboriginal languages,Sindhi,1735,745,10,2760
Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),960,485,10,1395
Aboriginal languages,"Siouan languages, n.i.e.",0,0,0,10
Aboriginal languages,"Slavey, n.o.s.",5,0,0,0
Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",65,15,0,75
Non-Official & Non-Aboriginal languages,Slovak,1175,465,0,1605
Non-Official & Non-Aboriginal languages,Slovene (Slovenian),270,40,0,330
Non-Official & Non-Aboriginal languages,Somali,1460,890,10,2175
Aboriginal languages,South Slavey,0,0,0,0
Aboriginal languages,Southern East Cree,0,0,0,0
Aboriginal languages,Southern Tutchone,0,0,0,0
Non-Official & Non-Aboriginal languages,Spanish,28690,17540,725,52265
Aboriginal languages,Squamish,0,0,0,0
Aboriginal languages,Stoney,90,30,0,95
Aboriginal languages,Straits,0,0,0,10
Non-Official & Non-Aboriginal languages,Swahili,795,350,20,2420
Aboriginal languages,Swampy Cree,10,0,0,10
Non-Official & Non-Aboriginal languages,Swedish,295,50,0,640
Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",40960,23010,305,57570
Aboriginal languages,Tahltan,0,0,0,0
Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",10,5,0,10
Non-Official & Non-Aboriginal languages,Tamil,1860,1190,20,3215
Non-Official & Non-Aboriginal languages,Telugu,955,560,0,1290
Non-Official & Non-Aboriginal languages,Thai,635,230,25,975
Aboriginal languages,Thompson (Ntlakapamux),0,0,0,0
Non-Official & Non-Aboriginal languages,Tibetan,550,395,10,800
Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",150,75,0,155
Non-Official & Non-Aboriginal languages,Tigrigna,2755,2050,15,3565
Aboriginal languages,Tlingit,0,0,0,0
Aboriginal languages,Tsimshian,0,0,0,0
Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",140,45,0,200
Non-Official & Non-Aboriginal languages,Turkish,1265,755,25,1715
Non-Official & Non-Aboriginal languages,Ukrainian,3625,790,20,4770
Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",0,5,0,0
Non-Official & Non-Aboriginal languages,Urdu,16930,11060,105,26025
Non-Official & Non-Aboriginal languages,Uyghur,60,45,0,130
Non-Official & Non-Aboriginal languages,Uzbek,75,55,0,245
Non-Official & Non-Aboriginal languages,Vietnamese,13540,8925,835,17345
Non-Official & Non-Aboriginal languages,Vlaams (Flemish),105,10,0,125
Aboriginal languages,"Wakashan languages, n.i.e.",0,0,0,0
Non-Official & Non-Aboriginal languages,Waray-Waray,150,50,0,195
Non-Official & Non-Aboriginal languages,Welsh,65,5,0,110
Non-Official & Non-Aboriginal languages,Wolof,120,65,0,330
Aboriginal languages,Woods Cree,10,0,0,60
Non-Official & Non-Aboriginal languages,Wu (Shanghainese),380,210,0,580
Non-Official & Non-Aboriginal languages,Yiddish,80,10,0,175
Non-Official & Non-Aboriginal languages,Yoruba,1430,350,0,3460
